	corpus	metric-entropy	n-dimension	pair-metric	radius-absolute	radius-relative	replicate	tool
0	text8_swap5101562	71155	50	euclidean	0.4227548355703995	0.003125	1	w2v
1	text8_swap5101562	42088	50	euclidean	0.845509671140799	0.00625	1	w2v
2	text8_swap5101562	20184	50	euclidean	1.691019342281598	0.0125	1	w2v
3	text8_swap5101562	7802	50	euclidean	3.382038684563196	0.025	1	w2v
4	text8_swap5101562	354	50	euclidean	6.764077369126392	0.05	1	w2v
5	text8_swap5101562	2	50	euclidean	13.528154738252784	0.1	1	w2v
6	text8_swap5101562	2	50	euclidean	27.056309476505568	0.2	1	w2v
7	text8_swap5101562	2	50	euclidean	40.58446421475835	0.3	1	w2v
8	text8_swap5101562	1	50	euclidean	54.112618953011136	0.4	1	w2v
0	text8_swap5101562	71142	50	euclidean	0.4247219679671882	0.003125	2	w2v
1	text8_swap5101562	42009	50	euclidean	0.8494439359343764	0.00625	2	w2v
2	text8_swap5101562	20165	50	euclidean	1.6988878718687528	0.0125	2	w2v
3	text8_swap5101562	7762	50	euclidean	3.3977757437375056	0.025	2	w2v
4	text8_swap5101562	339	50	euclidean	6.795551487475011	0.05	2	w2v
5	text8_swap5101562	2	50	euclidean	13.591102974950022	0.1	2	w2v
6	text8_swap5101562	2	50	euclidean	27.182205949900045	0.2	2	w2v
7	text8_swap5101562	2	50	euclidean	40.77330892485006	0.3	2	w2v
8	text8_swap5101562	1	50	euclidean	54.36441189980009	0.4	2	w2v
0	text8_swap5101562	71180	50	euclidean	0.422628770366732	0.003125	3	w2v
1	text8_swap5101562	42013	50	euclidean	0.845257540733464	0.00625	3	w2v
2	text8_swap5101562	20229	50	euclidean	1.690515081466928	0.0125	3	w2v
3	text8_swap5101562	7812	50	euclidean	3.381030162933856	0.025	3	w2v
4	text8_swap5101562	374	50	euclidean	6.762060325867712	0.05	3	w2v
5	text8_swap5101562	2	50	euclidean	13.524120651735425	0.1	3	w2v
6	text8_swap5101562	2	50	euclidean	27.04824130347085	0.2	3	w2v
7	text8_swap5101562	2	50	euclidean	40.57236195520627	0.3	3	w2v
8	text8_swap5101562	1	50	euclidean	54.0964826069417	0.4	3	w2v
0	text8_swap5101562	71161	50	euclidean	0.4229658471200837	0.003125	4	w2v
1	text8_swap5101562	42045	50	euclidean	0.8459316942401675	0.00625	4	w2v
2	text8_swap5101562	20205	50	euclidean	1.691863388480335	0.0125	4	w2v
3	text8_swap5101562	7792	50	euclidean	3.38372677696067	0.025	4	w2v
4	text8_swap5101562	365	50	euclidean	6.76745355392134	0.05	4	w2v
5	text8_swap5101562	2	50	euclidean	13.53490710784268	0.1	4	w2v
6	text8_swap5101562	2	50	euclidean	27.06981421568536	0.2	4	w2v
7	text8_swap5101562	2	50	euclidean	40.60472132352803	0.3	4	w2v
8	text8_swap5101562	1	50	euclidean	54.13962843137072	0.4	4	w2v
0	text8_swap5101562	71152	50	euclidean	0.4242832414108856	0.003125	5	w2v
1	text8_swap5101562	41950	50	euclidean	0.8485664828217712	0.00625	5	w2v
2	text8_swap5101562	20165	50	euclidean	1.6971329656435423	0.0125	5	w2v
3	text8_swap5101562	7782	50	euclidean	3.3942659312870846	0.025	5	w2v
4	text8_swap5101562	359	50	euclidean	6.788531862574169	0.05	5	w2v
5	text8_swap5101562	2	50	euclidean	13.577063725148339	0.1	5	w2v
6	text8_swap5101562	2	50	euclidean	27.154127450296677	0.2	5	w2v
7	text8_swap5101562	2	50	euclidean	40.73119117544501	0.3	5	w2v
8	text8_swap5101562	1	50	euclidean	54.308254900593354	0.4	5	w2v
