	corpus	metric-entropy	n-dimension	pair-metric	radius-absolute	radius-relative	replicate	tool
0	text8_swap6802083	71233	50	euclidean	0.35804783360903586	0.003125	1	w2v
1	text8_swap6802083	41985	50	euclidean	0.7160956672180717	0.00625	1	w2v
2	text8_swap6802083	19511	50	euclidean	1.4321913344361434	0.0125	1	w2v
3	text8_swap6802083	7342	50	euclidean	2.864382668872287	0.025	1	w2v
4	text8_swap6802083	379	50	euclidean	5.728765337744574	0.05	1	w2v
5	text8_swap6802083	2	50	euclidean	11.457530675489147	0.1	1	w2v
6	text8_swap6802083	2	50	euclidean	22.915061350978295	0.2	1	w2v
7	text8_swap6802083	2	50	euclidean	34.37259202646744	0.3	1	w2v
8	text8_swap6802083	2	50	euclidean	45.83012270195659	0.4	1	w2v
0	text8_swap6802083	71208	50	euclidean	0.35914038696483513	0.003125	2	w2v
1	text8_swap6802083	41956	50	euclidean	0.7182807739296703	0.00625	2	w2v
2	text8_swap6802083	19458	50	euclidean	1.4365615478593405	0.0125	2	w2v
3	text8_swap6802083	7291	50	euclidean	2.873123095718681	0.025	2	w2v
4	text8_swap6802083	390	50	euclidean	5.746246191437362	0.05	2	w2v
5	text8_swap6802083	2	50	euclidean	11.492492382874724	0.1	2	w2v
6	text8_swap6802083	2	50	euclidean	22.98498476574945	0.2	2	w2v
7	text8_swap6802083	2	50	euclidean	34.47747714862417	0.3	2	w2v
8	text8_swap6802083	2	50	euclidean	45.9699695314989	0.4	2	w2v
0	text8_swap6802083	71209	50	euclidean	0.35868359405785627	0.003125	3	w2v
1	text8_swap6802083	41992	50	euclidean	0.7173671881157125	0.00625	3	w2v
2	text8_swap6802083	19449	50	euclidean	1.434734376231425	0.0125	3	w2v
3	text8_swap6802083	7278	50	euclidean	2.86946875246285	0.025	3	w2v
4	text8_swap6802083	385	50	euclidean	5.7389375049257	0.05	3	w2v
5	text8_swap6802083	2	50	euclidean	11.4778750098514	0.1	3	w2v
6	text8_swap6802083	2	50	euclidean	22.9557500197028	0.2	3	w2v
7	text8_swap6802083	2	50	euclidean	34.4336250295542	0.3	3	w2v
8	text8_swap6802083	2	50	euclidean	45.9115000394056	0.4	3	w2v
0	text8_swap6802083	71217	50	euclidean	0.3600083491718487	0.003125	4	w2v
1	text8_swap6802083	41928	50	euclidean	0.7200166983436974	0.00625	4	w2v
2	text8_swap6802083	19418	50	euclidean	1.4400333966873948	0.0125	4	w2v
3	text8_swap6802083	7290	50	euclidean	2.8800667933747897	0.025	4	w2v
4	text8_swap6802083	374	50	euclidean	5.760133586749579	0.05	4	w2v
5	text8_swap6802083	2	50	euclidean	11.520267173499159	0.1	4	w2v
6	text8_swap6802083	2	50	euclidean	23.040534346998317	0.2	4	w2v
7	text8_swap6802083	2	50	euclidean	34.56080152049747	0.3	4	w2v
8	text8_swap6802083	2	50	euclidean	46.081068693996635	0.4	4	w2v
0	text8_swap6802083	71215	50	euclidean	0.3582229330949392	0.003125	5	w2v
1	text8_swap6802083	42061	50	euclidean	0.7164458661898784	0.00625	5	w2v
2	text8_swap6802083	19410	50	euclidean	1.4328917323797568	0.0125	5	w2v
3	text8_swap6802083	7327	50	euclidean	2.8657834647595135	0.025	5	w2v
4	text8_swap6802083	401	50	euclidean	5.731566929519027	0.05	5	w2v
5	text8_swap6802083	2	50	euclidean	11.463133859038054	0.1	5	w2v
6	text8_swap6802083	2	50	euclidean	22.926267718076108	0.2	5	w2v
7	text8_swap6802083	2	50	euclidean	34.38940157711416	0.3	5	w2v
8	text8_swap6802083	2	50	euclidean	45.852535436152216	0.4	5	w2v
