	corpus	metric-entropy	n-dimension	pair-metric	radius-absolute	radius-relative	replicate	tool
0	text8_swap8502604	71192	50	euclidean	0.3141501160435114	0.003125	1	w2v
1	text8_swap8502604	41269	50	euclidean	0.6283002320870228	0.00625	1	w2v
2	text8_swap8502604	18589	50	euclidean	1.2566004641740456	0.0125	1	w2v
3	text8_swap8502604	6671	50	euclidean	2.513200928348091	0.025	1	w2v
4	text8_swap8502604	360	50	euclidean	5.026401856696182	0.05	1	w2v
5	text8_swap8502604	3	50	euclidean	10.052803713392365	0.1	1	w2v
6	text8_swap8502604	2	50	euclidean	20.10560742678473	0.2	1	w2v
7	text8_swap8502604	2	50	euclidean	30.158411140177087	0.3	1	w2v
8	text8_swap8502604	2	50	euclidean	40.21121485356946	0.4	1	w2v
0	text8_swap8502604	71216	50	euclidean	0.3131827375395472	0.003125	2	w2v
1	text8_swap8502604	41393	50	euclidean	0.6263654750790943	0.00625	2	w2v
2	text8_swap8502604	18599	50	euclidean	1.2527309501581887	0.0125	2	w2v
3	text8_swap8502604	6706	50	euclidean	2.5054619003163774	0.025	2	w2v
4	text8_swap8502604	401	50	euclidean	5.010923800632755	0.05	2	w2v
5	text8_swap8502604	4	50	euclidean	10.02184760126551	0.1	2	w2v
6	text8_swap8502604	2	50	euclidean	20.04369520253102	0.2	2	w2v
7	text8_swap8502604	2	50	euclidean	30.065542803796525	0.3	2	w2v
8	text8_swap8502604	2	50	euclidean	40.08739040506204	0.4	2	w2v
0	text8_swap8502604	71212	50	euclidean	0.31409415955468223	0.003125	3	w2v
1	text8_swap8502604	41356	50	euclidean	0.6281883191093645	0.00625	3	w2v
2	text8_swap8502604	18545	50	euclidean	1.256376638218729	0.0125	3	w2v
3	text8_swap8502604	6698	50	euclidean	2.512753276437458	0.025	3	w2v
4	text8_swap8502604	403	50	euclidean	5.025506552874916	0.05	3	w2v
5	text8_swap8502604	3	50	euclidean	10.051013105749831	0.1	3	w2v
6	text8_swap8502604	2	50	euclidean	20.102026211499663	0.2	3	w2v
7	text8_swap8502604	2	50	euclidean	30.153039317249494	0.3	3	w2v
8	text8_swap8502604	2	50	euclidean	40.204052422999325	0.4	3	w2v
0	text8_swap8502604	71215	50	euclidean	0.31344355701348237	0.003125	4	w2v
1	text8_swap8502604	41440	50	euclidean	0.6268871140269647	0.00625	4	w2v
2	text8_swap8502604	18664	50	euclidean	1.2537742280539295	0.0125	4	w2v
3	text8_swap8502604	6715	50	euclidean	2.507548456107859	0.025	4	w2v
4	text8_swap8502604	391	50	euclidean	5.015096912215718	0.05	4	w2v
5	text8_swap8502604	3	50	euclidean	10.030193824431436	0.1	4	w2v
6	text8_swap8502604	2	50	euclidean	20.06038764886287	0.2	4	w2v
7	text8_swap8502604	2	50	euclidean	30.0905814732943	0.3	4	w2v
8	text8_swap8502604	2	50	euclidean	40.12077529772574	0.4	4	w2v
0	text8_swap8502604	71207	50	euclidean	0.31344246520958474	0.003125	5	w2v
1	text8_swap8502604	41421	50	euclidean	0.6268849304191695	0.00625	5	w2v
2	text8_swap8502604	18687	50	euclidean	1.253769860838339	0.0125	5	w2v
3	text8_swap8502604	6717	50	euclidean	2.507539721676678	0.025	5	w2v
4	text8_swap8502604	390	50	euclidean	5.015079443353356	0.05	5	w2v
5	text8_swap8502604	4	50	euclidean	10.030158886706712	0.1	5	w2v
6	text8_swap8502604	2	50	euclidean	20.060317773413423	0.2	5	w2v
7	text8_swap8502604	2	50	euclidean	30.09047666012013	0.3	5	w2v
8	text8_swap8502604	2	50	euclidean	40.12063554682685	0.4	5	w2v
